sorted_species,vulnerabilities
Bottlenose dolphin,13.874999597002118
Common murre,13.874999597002118
Dusky shark,13.874999597002118
Kemps Ridley turtle,13.874999597002118
Sandbar shark,13.874999597002118
Smooth hammerhead shark,13.874999597002118
West Indian manatee,13.874999597002118
Western gull,13.874999597002118
Australian fur seal,5.373305039762206e-7
Australian sea lion,5.373305039762206e-7
Broadnose sevengill shark,5.373305039762206e-7
Crested tern,5.373305039762206e-7
Flatback turtle,5.373305039762206e-7
Little penguin,5.373305039762206e-7
Long-nosed fur seal,3.672362573172991e-15
Short-tailed shearwater,1.5971373321521315e-15
Copper shark,1.5846496096493613e-15
Longfin mako shark,5.282165375883013e-16
Northern Right whale,4.878642572065697e-16
Salmon shark,4.586924745599857e-16
Northern elephant seal,3.972917082669383e-16
Beluga whale,3.7944997782733205e-16
Ringed seal,2.734190004308314e-16
California sea lion,2.6618960210228376e-16
Bowhead whale,2.497770071684551e-16
Leopard seal,2.242986524937278e-16
Adelie penguin,2.2111805668865028e-16
Crabeater seal,2.2111805668865028e-16
Weddell seal,2.2111805668865028e-16
Common thresher shark,1.6345427538839647e-16
Polar bear,1.243230013171654e-16
Narwhal,8.149053727367371e-17
Thick-billed murre,7.315033707368406e-17
Common eider,6.774352714365009e-17
Ivory gull,6.365459800186188e-17
Ross gull,5.609281088751923e-17
Sperm whale,4.6701221540556584e-17
Northern fur seal,4.383516698438063e-17
King eider,3.8623853367170834e-17
Gray whale,3.862297982018681e-17
Broad-billed prion,2.9041360689429925e-36
New Zealand sea lion,1.4520680344714963e-36
Blacktip shark,2.816138330467812e-37
Galapagos sea lion,2.6596862009973777e-37
Ascension frigatebird,2.39227771321188e-37
Masked booby,1.8796467746664771e-37
Chinstrap penguin,7.485600752038415e-43
Emperor penguin,8.085787956139963e-44
Macaroni penguin,5.713180507813343e-45
Bullers albatross,1.3582708701411657e-53
Audouins gull,4.1912971826563e-54
Killer whale,3.7014973479798723e-54
King penguin,3.6635588788939754e-54
Sandtiger shark,9.594349938715096e-55
Sei whale,8.692589488448445e-55
Oceanic manta ray,3.943045331967648e-55
Southern right whale,7.288675370074569e-56
Dugong,4.0304646348708772e-56
Pelagic thresher shark,7.13098507254664e-57
Southern elephant seal,7.531699137747565e-59
Ocean sunfish,1.2009528891771579e-59
Razorbill,8.224540481297233e-60
Manx shearwater,2.7905401235476866e-60
Harbour seal,1.2723886394806927e-60
Grey-headed albatross,4.9422432560037095e-61
Wandering albatross,2.9304517695446712e-61
Fin whale,1.6497227531937053e-61
South American sea lion,1.2250144870239619e-61
Murphys petrel,5.411052141918107e-63
Laysan albatross,3.7187127991282026e-64
Black-footed albatross,1.1382165790801955e-64
Scalloped hammerhead shark,8.349413845423995e-67
Galapagos shark,5.328628874103234e-67
Short-finned pilot whale,6.405398592145737e-69
Porbeagle shark,1.9884152749863984e-69
Great hammerhead shark,8.067524065156762e-70
Northern gannet,3.44562539514385e-73
Bull shark,1.2005131258989093e-73
Northern fulmar,9.555345162546502e-74
Blue whale,5.646508255834836e-74
Reef manta ray,4.616909318731446e-74
Black-browed albatross,3.5172842685144584e-74
Grey seal,2.7236786080020424e-74
Atlantic puffin,7.814851977034989e-76
Scopolis shearwater,5.179884243270526e-84
Sooty shearwater,2.2714492621624297e-84
Arctic Herring gull,1.872142367636062e-84
Streaked shearwater,4.25401140018745e-86
White shark,1.602257611698908e-87
Trindade petrel,5.8923701234369345e-90
Wedge-tailed shearwater,5.107730475225985e-90
Baraus petrel,2.0817088107877695e-90
White-tailed tropic bird,1.5424802603228163e-90
Great shearwater,1.0725686205719912e-90
Olive Ridley turtle,9.17873245440741e-91
Sooty tern,5.810499157572463e-91
Silky shark,4.159776342717012e-91
Corys shearwater,4.074403809867619e-92
Blue shark,2.5504947776237915e-92
Shortfin mako shark,1.2380156926074298e-96
Red-tailed tropic bird,9.05691463102097e-97
Tiger shark,7.684372299122093e-97
Hawksbill turtle,4.301183576939872e-97
Sabines gull,1.7041498275431416e-97
Whale shark,6.556454137807112e-98
Green turtle,4.3671052167947846e-98
Oceanic whitetip shark,1.0166742283841521e-98
Parasitic jaeger,5.260976686631509e-99
Humpback whale,3.492092197982248e-100
Leatherback turtle,5.075437505263783e-102
Loggerhead turtle,1.4048422474054166e-122
